,t_dat,week
0,2018-09-20,0
48399,2018-09-21,0
95942,2018-09-22,0
113577,2018-09-23,0
165807,2018-09-24,1
211791,2018-09-25,1
255648,2018-09-26,1
303872,2018-09-27,1
348133,2018-09-28,1
415033,2018-09-29,1
556733,2018-09-30,1
594776,2018-10-01,2
633453,2018-10-02,2
673385,2018-10-03,2
711772,2018-10-04,2
749875,2018-10-05,2
783360,2018-10-06,2
820372,2018-10-07,2
853019,2018-10-08,3
881260,2018-10-09,3
919841,2018-10-10,3
983591,2018-10-11,3
1042393,2018-10-12,3
1095923,2018-10-13,3
1148931,2018-10-14,3
1185357,2018-10-15,4
1218981,2018-10-16,4
1267462,2018-10-17,4
1326693,2018-10-18,4
1373279,2018-10-19,4
1412312,2018-10-20,4
1452829,2018-10-21,4
1490266,2018-10-22,5
1533812,2018-10-23,5
1583552,2018-10-24,5
1648051,2018-10-25,5
1702538,2018-10-26,5
1757928,2018-10-27,5
1808577,2018-10-28,5
1864848,2018-10-29,6
1910800,2018-10-30,6
1953192,2018-10-31,6
1991816,2018-11-01,6
2032935,2018-11-02,6
2069038,2018-11-03,6
2108937,2018-11-04,6
2141646,2018-11-05,7
2171992,2018-11-06,7
2205790,2018-11-07,7
2241089,2018-11-08,7
2273091,2018-11-09,7
2308350,2018-11-10,7
2342948,2018-11-11,7
2387847,2018-11-12,8
2413624,2018-11-13,8
2442364,2018-11-14,8
2477472,2018-11-15,8
2516091,2018-11-16,8
2554452,2018-11-17,8
2593269,2018-11-18,8
2629140,2018-11-19,9
2662124,2018-11-20,9
2702578,2018-11-21,9
2745710,2018-11-22,9
2801884,2018-11-23,9
2943902,2018-11-24,9
3024137,2018-11-25,9
3083459,2018-11-26,10
3140372,2018-11-27,10
3170499,2018-11-28,10
3199775,2018-11-29,10
3231871,2018-11-30,10
3262435,2018-12-01,10
3296536,2018-12-02,10
3323115,2018-12-03,11
3350270,2018-12-04,11
3382104,2018-12-05,11
3417797,2018-12-06,11
3455081,2018-12-07,11
3488397,2018-12-08,11
3525817,2018-12-09,11
3560439,2018-12-10,12
3590870,2018-12-11,12
3621921,2018-12-12,12
3661357,2018-12-13,12
3694502,2018-12-14,12
3725703,2018-12-15,12
3761961,2018-12-16,12
3794335,2018-12-17,13
3829282,2018-12-18,13
3868529,2018-12-19,13
3915148,2018-12-20,13
3976170,2018-12-21,13
4032430,2018-12-22,13
4091053,2018-12-23,13
4134208,2018-12-24,14
4172570,2018-12-25,14
4187369,2018-12-26,14
4212358,2018-12-27,14
4265334,2018-12-28,14
4311466,2018-12-29,14
4353868,2018-12-30,14
4387359,2018-12-31,15
4411262,2019-01-01,15
4429407,2019-01-02,15
4473659,2019-01-03,15
4521403,2019-01-04,15
4564948,2019-01-05,15
4609484,2019-01-06,15
4647369,2019-01-07,16
4681853,2019-01-08,16
4731081,2019-01-09,16
4784390,2019-01-10,16
4837570,2019-01-11,16
4880226,2019-01-12,16
4925051,2019-01-13,16
4964663,2019-01-14,17
5000378,2019-01-15,17
5035415,2019-01-16,17
5082377,2019-01-17,17
5118390,2019-01-18,17
5154131,2019-01-19,17
5192851,2019-01-20,17
5227207,2019-01-21,18
5261760,2019-01-22,18
5298638,2019-01-23,18
5338758,2019-01-24,18
5381078,2019-01-25,18
5427903,2019-01-26,18
5476061,2019-01-27,18
5516666,2019-01-28,19
5552371,2019-01-29,19
5597361,2019-01-30,19
5636387,2019-01-31,19
5674733,2019-02-01,19
5716317,2019-02-02,19
5760218,2019-02-03,19
5805477,2019-02-04,20
5839108,2019-02-05,20
5874851,2019-02-06,20
5912191,2019-02-07,20
5951614,2019-02-08,20
5988346,2019-02-09,20
6029566,2019-02-10,20
6066533,2019-02-11,21
6099157,2019-02-12,21
6133786,2019-02-13,21
6167227,2019-02-14,21
6200934,2019-02-15,21
6238769,2019-02-16,21
6281781,2019-02-17,21
6315486,2019-02-18,22
6347247,2019-02-19,22
6381008,2019-02-20,22
6424696,2019-02-21,22
6483424,2019-02-22,22
6547450,2019-02-23,22
6623118,2019-02-24,22
6657736,2019-02-25,23
6697406,2019-02-26,23
6740485,2019-02-27,23
6785991,2019-02-28,23
6827145,2019-03-01,23
6869290,2019-03-02,23
6910038,2019-03-03,23
6945192,2019-03-04,24
6975500,2019-03-05,24
7010152,2019-03-06,24
7059732,2019-03-07,24
7104307,2019-03-08,24
7144098,2019-03-09,24
7184848,2019-03-10,24
7224545,2019-03-11,25
7260152,2019-03-12,25
7297640,2019-03-13,25
7342870,2019-03-14,25
7381925,2019-03-15,25
7419207,2019-03-16,25
7471044,2019-03-17,25
7510550,2019-03-18,26
7541624,2019-03-19,26
7577180,2019-03-20,26
7618685,2019-03-21,26
7660463,2019-03-22,26
7704299,2019-03-23,26
7748582,2019-03-24,26
7789370,2019-03-25,27
7826807,2019-03-26,27
7873980,2019-03-27,27
7923119,2019-03-28,27
7970193,2019-03-29,27
8017732,2019-03-30,27
8067292,2019-03-31,27
8113895,2019-04-01,28
8157876,2019-04-02,28
8200227,2019-04-03,28
8245163,2019-04-04,28
8287813,2019-04-05,28
8328033,2019-04-06,28
8447634,2019-04-07,28
8488507,2019-04-08,29
8522926,2019-04-09,29
8562868,2019-04-10,29
8606576,2019-04-11,29
8648271,2019-04-12,29
8690194,2019-04-13,29
8735046,2019-04-14,29
8777368,2019-04-15,30
8819081,2019-04-16,30
8864011,2019-04-17,30
8909202,2019-04-18,30
8956795,2019-04-19,30
9009983,2019-04-20,30
9065541,2019-04-21,30
9098157,2019-04-22,31
9143394,2019-04-23,31
9205254,2019-04-24,31
9285965,2019-04-25,31
9349589,2019-04-26,31
9404324,2019-04-27,31
9433726,2019-04-28,31
9478633,2019-04-29,32
9526823,2019-04-30,32
9590349,2019-05-01,32
9663224,2019-05-02,32
9732063,2019-05-03,32
9787836,2019-05-04,32
9840172,2019-05-05,32
9882128,2019-05-06,33
9921401,2019-05-07,33
9965196,2019-05-08,33
10009405,2019-05-09,33
10048098,2019-05-10,33
10089683,2019-05-11,33
10132073,2019-05-12,33
10165313,2019-05-13,34
10200821,2019-05-14,34
10241921,2019-05-15,34
10282616,2019-05-16,34
10379936,2019-05-17,34
10421248,2019-05-18,34
10468946,2019-05-19,34
10506229,2019-05-20,35
10549235,2019-05-21,35
10592911,2019-05-22,35
10644037,2019-05-23,35
10696810,2019-05-24,35
10754876,2019-05-25,35
10811662,2019-05-26,35
10863575,2019-05-27,36
10915251,2019-05-28,36
10964819,2019-05-29,36
11032967,2019-05-30,36
11080571,2019-05-31,36
